Card Title,Card Images,Card Annual Fees,Card Purchase Interest Rate,Cash interest rate,Product Value Prop,Product Benefits, Name,Card Details
CIBC Aventura  Visa Infinite* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-infinite-card/cibc-visa-aventura-infinite-fr.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$139,20.99%,22.99%,Experience more of the world with our most flexible travel rewards program.,"2 points per $1 on travel booked through the CIBC Rewards Centre * 1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases * Lounge access | NEXUS application fee rebate | Visa* concierge service",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-card.html
CIBC Aeroplan  Visa Infinite* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-infinite-card/cibc-aeroplan-infinite-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$139,20.99%,22.99%,Earn more points towards your dream vacation.,"1.5 points per $1 directly with Air Canada and Air Canada Vacations * 1.5 points per $1 on eligible gas, electric vehicle charging and groceries * First bag free | Visa* concierge service | Preferred pricing",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-card.html
CIBC Aventura  Visa Infinite Privilege* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-infinite-privilege-card/cibc-visa-aventura-infinite-privilege-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$499,20.99%,22.99%,Take your travel to new heights with exceptional benefits.,"3 points per $1 on travel booked through the CIBC Rewards Centre * 2 points on eligible dining, transportation, gas, electric vehicle charging and groceries * Annual travel credit | Lounge access | NEXUS fee rebate and more",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-privilege-card.html
CIBC Aeroplan  Visa Infinite Privilege* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-infinite-privilege-card/cibc-aeroplan-infinite-privilege-fr.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$599,20.99%,22.99%,Elevate your trip every step of the way with premium travel benefits.,"2 points per $1 directly with Air Canada and Air Canada Vacations * 1.5 points per $1 on eligible gas, electric vehicle charging, groceries, travel and dining * Lounge access | First bag free | Priority Airport Services",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-privilege-card.html
CIBC Aventura  Gold Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-gold-visa-card/cibc-visa-aventura-gold-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$139,20.99%,22.99%,Experience more of the world with our most flexible travel rewards program.,"2 points per $1 on travel booked through the CIBC Rewards Centre * 1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases * Lounge access | NEXUS fee rebate",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-gold-visa-card.html
CIBC Aventura  Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-card/cibc-visa-aventura-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,Experience more of the world with our most flexible travel rewards program.,"1 point per $1 on travel booked through the CIBC Rewards Centre * 1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases * Book travel with personalized assistance",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-card.html
CIBC Aeroplan  Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-card-for-students/cibc-aeroplan-visa-card-for-students-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,The no annual fee travel card that turns your everyday purchases into a dream vacation.,"1 point per $1 directly with Air Canada and Air Canada Vacations * 1 point per $1 on eligible gas, electric vehicle charging and groceries * Preferred pricing | Earn points twice at over 170 retailers",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-card.html
CIBC Aventura  Visa* Card for Students,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-card-for-students/cibc-visa-aventura-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,Experience more of the world with our most flexible travel rewards program.,"1 point per $1 on travel booked through the CIBC Rewards Centre * 1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases * Free SPC+ membership | CIBC Pace It Installment Plans",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-for-students.html
CIBC Aeroplan  Visa* Card for Students,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-card-for-students/cibc-aeroplan-visa-card-for-students-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,A no annual fee travel card that turns your everyday purchases into a dream vacation.,"1 point per $1 directly with Air Canada and Air Canada Vacations * 1 point per $1 on eligible gas, electric vehicle charging and groceries * Preferred pricing | Earn points twice at over 170 retailers",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-for-students.html
CIBC Dividend  Visa Infinite* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/dividend-cards/cibc-dividend-visa-infinite-card/cibc-dividend-visa-infinite-card-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$120,20.99%,22.99%,Maximize your earnings and enjoy exclusive perks with our top-rated cash back card.,"4% cash back on eligible gas, electric vehicle charging and groceries * 2% cash back on eligible transportation, dining and recurring payments * Mobile Device Insurance | Save on gas | Visa* concierge services",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-infinite-card.html
